City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Kiruna,SE,67.8557,20.2251,23.92,93,100,4.61,overcast clouds
301,Zavetnoye,RU,47.1194,43.8903,42.48,63,9,8.52,clear sky
302,Aguimes,ES,27.9054,-15.4461,74.66,69,20,13.8,few clouds
303,Prince Rupert,CA,54.3161,-130.3201,38.89,64,100,28.77,overcast clouds
304,Asau,RO,46.4333,26.4,38.32,67,31,3.49,scattered clouds
305,Pemangkat,ID,1.1667,108.9667,78.55,86,100,5.57,moderate rain
306,Selma,US,36.5708,-119.6121,47.64,100,0,0.0,clear sky
307,Bria,CF,6.5423,21.9863,80.31,55,78,3.76,broken clouds
308,Boa Vista,BR,2.8197,-60.6733,87.78,55,40,6.91,light rain
309,Lasa,IT,46.6166,10.7002,52.68,89,31,2.3,scattered clouds
310,Semirom,IR,31.4167,51.5667,45.46,78,34,5.66,scattered clouds
311,Praia Da Vitoria,PT,38.7333,-27.0667,66.45,88,75,27.81,light rain
312,Ahipara,NZ,-35.1667,173.1667,60.33,96,100,8.77,overcast clouds
313,Surab,PK,28.4914,66.2585,56.44,47,13,4.9,few clouds
314,Half Moon Bay,US,37.4636,-122.4286,52.79,87,0,10.36,clear sky
315,Shimoda,JP,34.6667,138.95,58.1,61,13,5.99,few clouds
316,Ramsar,IR,36.9226,50.6426,58.44,82,75,4.61,broken clouds
317,Praya,CV,14.9215,-23.5087,84.74,51,0,12.66,clear sky
318,Porto Novo,BJ,6.4965,2.6036,85.46,65,35,10.56,light rain
319,Erdenet,MN,49.0333,104.0833,19.74,93,99,2.91,overcast clouds
320,Veraval,IN,20.9,70.3667,80.47,64,2,3.58,clear sky
321,Hofn,IS,64.2539,-15.2082,42.82,81,75,18.41,broken clouds
322,Slave Lake,CA,55.2834,-114.769,-5.82,77,0,6.91,clear sky
323,Nikolayevskaya,RU,47.6139,41.5023,44.1,78,7,7.56,clear sky
324,Te Anau,NZ,-45.4167,167.7167,48.02,90,7,0.78,clear sky
325,Copiapo,CL,-27.3667,-70.3333,62.29,29,38,9.75,scattered clouds
326,Tianpeng,CN,30.9866,103.9393,61.27,86,97,3.18,overcast clouds
327,Yangambi,CD,0.8102,24.4336,73.38,91,98,2.26,light rain
328,Batemans Bay,AU,-35.7167,150.1833,55.2,93,76,4.59,broken clouds
329,Oranjemund,NA,-28.55,16.4333,63.19,74,68,14.85,broken clouds
330,San Patricio,US,28.017,-97.5169,83.88,63,11,8.66,few clouds
331,Bonavista,CA,48.6499,-53.1147,39.11,80,100,22.28,light rain
332,Bacolod,PH,10.6667,122.95,78.73,81,33,7.36,scattered clouds
333,Kungurtug,RU,50.5994,97.5228,7.97,97,80,1.21,broken clouds
334,Cherskiy,RU,68.75,161.3,-0.38,98,100,4.23,light snow
335,Kuznetsk,RU,53.1167,46.6004,40.78,85,96,10.27,overcast clouds
336,Stromness,GB,58.965,-3.296,57.16,85,100,21.99,overcast clouds
337,Ust-Kuyga,RU,70.0167,135.6,-21.37,100,98,5.08,overcast clouds
338,Vuktyl,RU,63.8567,57.3094,28.76,97,100,7.99,overcast clouds
339,Mucurapo,TT,10.6667,-61.5333,85.01,77,95,8.08,light rain
340,Acapulco,MX,16.8634,-99.8901,84.02,70,0,4.61,clear sky
341,Viljoenskroon,ZA,-27.2084,26.9485,75.18,41,50,8.84,scattered clouds
342,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,91.06,21,8,7.45,clear sky
343,Sorong,ID,-0.8833,131.25,80.01,82,100,5.57,overcast clouds
344,Lata,PT,40.1629,-8.3327,69.93,62,7,2.3,clear sky
345,Porto Velho,BR,-8.7619,-63.9039,93.25,52,20,6.91,few clouds
